Sl. No.,College Name,District,Email,Establish Year,College Type,Course Type,Contact No.,Link
26,"G. D. Govt. College for Women, Alwar",Alwar,principalgauridevi@gmail.com,1964, Girls,PG,01442700337,https://hte.rajasthan.gov.in/college/ggcalwar
27,"GOVERNMENT COMMERCE  COLLEGE, ALWAR",Alwar,gccalwar@gmail.com,2014, CoEd,PG,9413878739,https://hte.rajasthan.gov.in/college/gccalwar
28,Government College Rajgarh (Alwar),Alwar,principalgcrajgarh@ymail.com,1967, CoEd,PG,01464-220043,https://hte.rajasthan.gov.in/college/gcrajgarhalwar
29,"GOVERNMENT P.G. COLLEGE, TIJARA",Alwar,govtcollegetijara@gmail.com,2013, CoEd,PG,9530299202,https://hte.rajasthan.gov.in/college/gctijara
30,"RAJ RISHI COLLEGE , ALWAR",Alwar,rrcalwar@gmail.com,1945, CoEd,PG,0144-2700772,https://hte.rajasthan.gov.in/college/gcalwar
31,Government College Govindgarh (Alwar),Alwar,gcgalwar1998@gmail.com,1998, CoEd,PG,01492-277499,https://hte.rajasthan.gov.in/college/gcgalwar
32,GOVERNMENT P.G. LAW COLLEGE ALWAR,Alwar,law3alwar@gmail.com,2006, CoEd,PG,01442731334,https://hte.rajasthan.gov.in/college/glcalwar
33,Government College Behror,Alwar,governmentcollegebehror@gmail.com,1977, CoEd,PG,01494-220046,https://hte.rajasthan.gov.in/college/gcbehror
34,"GOVERNMENT COLLEGE, BIBIRANI ( ALWAR)",Alwar,gcbibirani@gmail.com,1995, CoEd,PG,01460233263,https://hte.rajasthan.gov.in/college/gcbibirani
35,"GOVT. COLLEGE MUNDAWAR, ALWAR",Alwar,gcmundawar@gmail.com,2017, CoEd,UG,9414338834,https://hte.rajasthan.gov.in/college/GCMUNDAWAR
36,"GOVERNMENT COLLEGE KHAIRTHAL, ALWAR (RAJ.)",Alwar,gckhairthal@gmail.com,2020, CoEd,UG,9414681541,https://hte.rajasthan.gov.in/college/gckhairtal
37,Government College Bansur,Alwar,govtcollegebansur@gmail.com,2018, CoEd,UG,01461-232125,https://hte.rajasthan.gov.in/college/gcbansur
38,Government Girls College Behror,Alwar,behrorgovtgirlscollege@gmail.com,2019, Girls,UG,1234567890,https://hte.rajasthan.gov.in/college/ggcbehror
39,Govt. College Laxmangarh (Alwar),Alwar,gclaxmangarhalwar@gmail.com,2019, CoEd,UG,01492294800,https://hte.rajasthan.gov.in/college/gclaxmangarhalwar
40,Govt College Ramgarh Alwar,Alwar,gcramgarhalwar@gmail.com,2020, CoEd,UG,01442700772,https://hte.rajasthan.gov.in/college/gcramgarhalwar
41,Government College Kathumar,Alwar,gckathumar@gmail.com,, CoEd,UG,1442700337,https://hte.rajasthan.gov.in/college/gckathumar
42,Government Girls CollegeTapukara,Alwar,ggctapukra2020@gmail.com,2020, Girls,UG,9414726155,https://hte.rajasthan.gov.in/college/ggctapukara
43,Government College Malakhera Alwar,Alwar,gcmalakhera@gmail.com,2020, CoEd,UG,1442732336,https://hte.rajasthan.gov.in/college/gcmalakhera
44,Government College Reni,Alwar,gcrenialwar@gmail.com,2021, CoEd,UG,9799658487,https://hte.rajasthan.gov.in/college/gcreni
45,Baba Mohan Ram Kissan Government College Bhiwadi,Alwar,subhashshastri009@gmail.com,2020, CoEd,PG,7982849745,https://hte.rajasthan.gov.in/college/gcbhiwadi
46,GOVERNMENT COLLEGE KISHANGARH BAS,Alwar,ggckishangarhbas@gmail.com,2022, Girls,UG,1460230263,https://hte.rajasthan.gov.in/college/ggckishangarhbas
47,GOVERNMENT GIRLS COLLEGE RAJGARH ALWAR,Alwar,gcgirlrajgarh@gmail.com,2022, CoEd,UG,0141-220043,https://hte.rajasthan.gov.in/college/ggcrajgarhalwar
48,Govt college Tehla,Alwar,gctehla22@gmail.com,2022, CoEd,UG,9785080289,https://hte.rajasthan.gov.in/college/gctahla
49,Government Girls College Pratapgarh Alwar,Alwar,ggcpratapgarh22@gmail.com,2022, Girls,UG,9414820438,https://hte.rajasthan.gov.in/college/ggcpratapgarhalwar
50,GOVERNMENT COLLEGE NEEMRANA,Alwar,govtcollegeneemrana@gmail.com,2022, CoEd,UG,9413688731,https://hte.rajasthan.gov.in/college/
51,Government Girls College  Bardod,Alwar,ggcbardod@gmail.com,2022, Girls,UG,9460131413,https://hte.rajasthan.gov.in/college/ggcbardod
52,Government Girls College Baroda Meo Alwar,Alwar,ggcbarodameo@gmail.com,2022, Girls,UG,1442732336,https://hte.rajasthan.gov.in/college/ggcbarodameoalwar
53,GOVERNMENT COLLEGE MUBARIKPUR,Alwar,gcmmubarikpur@gmail.com,2023, CoEd,UG,9414272340,https://hte.rajasthan.gov.in/college/gcgmubarikpur
54,Government Girls College Bhiwadi,Alwar,govtgirlscollegebhiwadi23@gmail.com,2023, Girls,UG,9414355834,https://hte.rajasthan.gov.in/college/ggcbhiwadi
55,Government Girls CollegeKherli Ganj,Alwar,ggckherliganj23@gmail.com,2023, Girls,UG,99999999999,https://hte.rajasthan.gov.in/college/ggckherliganj23
56,Government Girls College Narayanpur,Alwar,ggcnarayanpur23@gmail.com,2023, Girls,UG,9799613389,https://hte.rajasthan.gov.in/college/rrbmualwar
57,Government Girls College Bahadurpur Alwar,Alwar,ggcbahadurpur@gmail.com,, Girls,,144273233,https://hte.rajasthan.gov.in/college/ggcbahadurpur
58,"SHRI GOVIND GURU GOVERNMENT COLLEGE, BANSWARA",Banswara,govtcollegebsw@gmail.com,1959, CoEd,PG,02962-254022,https://hte.rajasthan.gov.in/college/gcbanswara
59,HARIDEV JOSHI RAJKIYA KANYA MAHAVIDHYALAYA BANSWARA,Banswara,gc.banswara@rajasthan.gov.in,1995, Girls,PG,02962-244162,https://hte.rajasthan.gov.in/college/ggcbanswara
60,SW. MAMA BALESHWAR DAYAL GOVT. P.G. COLLEGE KUSHALGARH BANSWARA (RAJ.),Banswara,mbdcollege21@gmail.com,1990, CoEd,PG,02965 - 275276,https://hte.rajasthan.gov.in/college/gckushalgarh
61,"GOVERNMENT COLLEGE SAJJANGARH, BANSWARA",Banswara,gcsajjangarh@gmail.com,2019, CoEd,UG,8209782686,https://hte.rajasthan.gov.in/college/gcsajjangarh
62,GOVERNMENT COLLEGE GANGARTALAI,Banswara,gcgangadtalai@gmail.com,2020, CoEd,UG,9983891008,https://hte.rajasthan.gov.in/college/gcgangartalai
63,Government College Chhoti Sarwan,Banswara,gcchhotisarvan@gmail.com,2020, CoEd,UG,8005998047,https://hte.rajasthan.gov.in/college/gcchhotisarvan
64,GOVT GIRLS COLLEGE KUSHALGARH,Banswara,ggckushalgarh@gmail.com,2022, Girls,UG,9414725608,https://hte.rajasthan.gov.in/college/ggckushalgarh
65,Government college anandpuri,Banswara,govtcollegeanandpuri@gmail.com,2022, CoEd,UG,9602637100,https://hte.rajasthan.gov.in/college/gcanandpuri
66,Government College Partapur,Banswara,gcpartapurgarhi@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcpartapur
67,"Government Girls College, Baran (Rajasthan)",Baran,girlscollegebaran@yahoo.com,1995, Girls,PG,+91-7453-230279,https://hte.rajasthan.gov.in/college/ggcbaran
68,Government P.G College Baran,Baran,principalgcbaran@gmail.com,1966, CoEd,PG,07453-230072,https://hte.rajasthan.gov.in/college/gcbaran
69,Government College Chhabra (Baran),Baran,principalgcchhabra@gmail.com,2016, CoEd,UG,07452222084,https://hte.rajasthan.gov.in/college/gcchhabra
70,Goverment College mangrol,Baran,gcmangrol@gmail.com,2016, CoEd,UG,07457223311,https://hte.rajasthan.gov.in/college/gcmangrol
71,Govt. College Kelwara,Baran,principal.gckelwara@gmail.com,2008, CoEd,UG,07460213063,https://hte.rajasthan.gov.in/college/gckelwara
72,"Government College, Antah",Baran,gcantah8@gmail.com,2017, CoEd,UG,07457244111,https://hte.rajasthan.gov.in/college/gcantah
73,"GOVERNMENT COLLEGE, ATRU (BARAN)",Baran,gcatru2018@gmail.com,2018, CoEd,UG,7791812933,https://hte.rajasthan.gov.in/college/gcatru
74,Government College Shahbad,Baran,gc.shbd2020@gmail.com,2019, CoEd,UG,07460-262360,https://hte.rajasthan.gov.in/college/gcshahbad
75,Shri Premsingh Shinghvi Government College Chhipabarod (Baran),Baran,gcchhipabarod@gmail.com,2020, CoEd,UG,+917454-285053,https://hte.rajasthan.gov.in/college/spcgcchhipabarod
76,Government Girls College   Kelwara,Baran,ggckelwara@gmail.com,2022, Girls,UG,9460244537,https://hte.rajasthan.gov.in/college/
77,Government Girls College Chhabra,Baran,ggcprincipalchhabra@gmail.com,2022, Girls,UG,09413009111,https://hte.rajasthan.gov.in/college/ggcchhabra
78,GOVERNMENT GIRLS COLLEGE ATRU BARAN,Baran,ggcatru2022@gmail.com,2022, Girls,UG,9530299202,https://hte.rajasthan.gov.in/college/ggcatru
79,Government College Nahargarh,Baran,principalgcnahargarh@gmail.com,2022, CoEd,UG,7589094534,https://hte.rajasthan.gov.in/college/gcnahargarh
80,Government College Seeswali,Baran,gcsiswali2023@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcsiswali2023
81,Government Girls College shahbad,Baran,ggcshahbad@gmail.com,2023, Girls,UG,9928719595,https://hte.rajasthan.gov.in/college/ggcshahbad
82,"D.R.J.Government Girls P.G. College, BALOTRA",Barmer,govtgirlscollegebalotra@yahoo.in,1997, Girls,PG,02988224101,https://hte.rajasthan.gov.in/college/ggcbalotra
83,"MOOLCHAND BHAGWANDAS RANGWALA GOVERNMENT P.G. COLLEGE, BALOTRA (District-Barmer) Pin-344022  A NAAC Awarded Grade ""B"" Institute",Barmer,mbrgcb@rediff.com,1991, CoEd,PG,02988240852,https://hte.rajasthan.gov.in/college/gcbalotra
84,"Veer Narayan Parmar Government College Siwana, Balotra",Barmer,gcsiwana@gmail.com,2015, CoEd,PG,2901230030,https://hte.rajasthan.gov.in/college/gcsiwana
85,GOVT COLLEGE GUDAMALANI,Barmer,gcgudamalani@gmail.com,2013, CoEd,PG,02983280085,https://hte.rajasthan.gov.in/college/gcgudhamalani
86,"Government College, Barmer",Barmer,principalgcbarmer1965@gmail.com,1965, CoEd,PG,02982-220034,https://hte.rajasthan.gov.in/college/gcbarmer
87,"Government College, Baytu",Barmer,gcbaytu2014@gmail.com,2014, CoEd,PG,02982-241048,https://hte.rajasthan.gov.in/college/gcbaytoo
88,"M.B.C. GOVT. GIRLS COLLEGE, BARMER (RAJASTHAN)",Barmer,mbcggc@gmail.com,1997, Girls,PG,02982-230515,https://hte.rajasthan.gov.in/college/ggcbarmer
89,"Government College, Chouhtan",Barmer,gcchouthan@gmail.com,2018, CoEd,UG,7073240067,https://hte.rajasthan.gov.in/college/gcchouhtan
90,GOVERNMENT COLLEGE SHEO DISTRICT BARMER,Barmer,gcsheo@gmail.com,2018, CoEd,UG,9460462293,https://hte.rajasthan.gov.in/college/gcsheo
91,Government College Dhorimana,Barmer,govtcollegedhorimana@gmail.com,2019, CoEd,UG,8890054399,https://hte.rajasthan.gov.in/college/gcdhorimana
92,Government College Gadra Road Barmer,Barmer,gcgadra.gs@gmail.com,2020, CoEd,UG,9468964603,https://hte.rajasthan.gov.in/college/gcgadra
93,Government College Sindhari,Barmer,governmentcollegesindhri@gmail.com,2020, CoEd,UG,9413760306,https://hte.rajasthan.gov.in/college/gcsindhri
94,Government college sedwa,Barmer,gcsedwa2020@gmail.com,2020, CoEd,UG,2982220034,https://hte.rajasthan.gov.in/college/gcsedwa
95,GOVERNMENT COLLEGE PATODI,Barmer,govtcollegepatodi@gmail.com,2020, CoEd,UG,2988240852,https://hte.rajasthan.gov.in/college/gcpatodi
96,Government College Samdari,Barmer,govtcollegesamdari@gmail.com,2020, CoEd,UG,9414760058,https://hte.rajasthan.gov.in/college/gcsamdari
97,Government College Nokhada,Barmer,gcnokhada@gmail.com,2021, CoEd,UG,2983280085,https://hte.rajasthan.gov.in/college/gcnokhada
98,Government College Kalyanpur,Barmer,gckalyanpur@gmail.com,2021, CoEd,UG,9983535105,https://hte.rajasthan.gov.in/college/gckalyanpur
99,GOVERNMENT GIRLS COLLEGE  BAYTU,Barmer,ggcbaytu2022@gmail.com,2022, Girls,UG,2982241048,https://hte.rajasthan.gov.in/college/ggcbaytu
100,GOVERNMENT GIRLS COLLEGE SIWANA,Barmer,ggcsiwana@gmail.com,2022, Girls,UG,9591548204,https://hte.rajasthan.gov.in/college/ggcsiwana
101,Government Girls College Samdari,Barmer,ggcsamdari@gmai.com,2023, Girls,UG,9314717511,https://hte.rajasthan.gov.in/college/ggcsamdari
102,Government College Goliya Jetmal,Barmer,gcgoliyajetmal@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcgoliyajetmal
103,Government College Vishala,Barmer,gcvishala@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcvishala
104,Government College Gida,Barmer,gcgida2023@gmail.com,2023, CoEd,UG,9829613234,https://hte.rajasthan.gov.in/college/gcgida
105,"RAMESHWARI DEVI GIRLS COLLEGE, BHARATPUR (RAJ.)  (A State Government Girls PG College)",Bharatpur,rdgirls@gmail.com,1971, Girls,PG,5644-222774,https://hte.rajasthan.gov.in/college/ggcbharatpur
106,"M. S. J. Govt. P G College, Bharatpur, Raj. 321001",Bharatpur,msjc47@gmail.com,1947, CoEd,PG,05644-225660,https://hte.rajasthan.gov.in/college/gcbharatpur
107,"GOVERNMENT LAW COLLEGE, BHARATPUR",Bharatpur,glcprincipalbharatpur@yahoo.in,2006, CoEd,PG,9414294858,https://hte.rajasthan.gov.in/college/glcbharatpur
108,"DEVNARAYAN GOVERNMENT GIRLS COLLEGE, BAYANA",Bharatpur,govtgirlscollegebayana@gmail.com,2012, Girls,UG,05648225121,https://hte.rajasthan.gov.in/college/ggcbayana
109,"M.A.J. Government College,Deeg (Bharatpur)",Bharatpur,majgovtcollegedeeg3@gmail.com,1977, CoEd,PG,05641-220084,https://hte.rajasthan.gov.in/college/gcdeeg
110,"GOVT. P.G. COLLEGE, BAYANA, BHARATPUR",Bharatpur,govtcollegebayana@gmail.com,1991, CoEd,PG,5648222135,https://hte.rajasthan.gov.in/college/gcbayana
111,"Government College, Nadbai",Bharatpur,gcnadbai@gmail.com,2018, CoEd,UG,9252266588,https://hte.rajasthan.gov.in/college/gcnadbai
112,"Government College, Kaman",Bharatpur,gckamanbharatpur@gmail.com,2018, CoEd,UG,9024242552,https://hte.rajasthan.gov.in/college/gckaman
113,Government College Nagar,Bharatpur,governmentcollegenagar@gmail.com,2018, CoEd,UG,9460502657,https://hte.rajasthan.gov.in/college/gcnagar
114,GOVERNMENT COLLEGE WEIR,Bharatpur,gcweir2019@gmail.com,2019, CoEd,UG,8279225584,https://hte.rajasthan.gov.in/college/gcweir
115,Govt.College Uchchain,Bharatpur,gcuchchain@gmail.com,2019, CoEd,UG,9414364628,https://hte.rajasthan.gov.in/college/gcuchchain
116,Government College Pahari,Bharatpur,paharigovernmentcollege@gmail.com,2019, CoEd,UG,9414715300,https://hte.rajasthan.gov.in/college/gcpahari
117,GOVERNMENT COLLEGE SIKRI,Bharatpur,govtcollegesikri@gmail.com,2020, CoEd,UG,9414402894,https://hte.rajasthan.gov.in/college/gcsikri
118,Government College Rupwas,Bharatpur,gcrupwas@gmail.com,2020, CoEd,UG,00000 000000,https://hte.rajasthan.gov.in/college/gcrupwas
119,Govt Girls College Uchchain,Bharatpur,girlscollegeuchchain@gmail.com,2022, Girls,UG,9414377061,https://hte.rajasthan.gov.in/college/ggcuchchain
120,"Government Girls College, Peepla",Bharatpur,ggcpeepla@gmail.com,2022, Girls,UG,9460478705,https://hte.rajasthan.gov.in/college/ggcpeeplabharatpur
121,Government Girls College Deeg,Bharatpur,ggcdeeg@gmail.com,2022, Girls,UG,9414712217,https://hte.rajasthan.gov.in/college/ggcdeeg
122,Government Girls College Jhaltala,Bharatpur,ggcjhaltala@gmail.com,2022, Girls,UG,7727857415,https://hte.rajasthan.gov.in/college/ggcjhaltala
123,Government Girls College Nithar,Bharatpur,ggcnithar@gmail.com,2023, Girls,UG,9928403121,https://hte.rajasthan.gov.in/college/ggcnithar
124,Government girls College Sikri,Bharatpur,ggcsikri@gmail.com,2023, Girls,UG,7742403904,https://hte.rajasthan.gov.in/college/ggcsikri
125,Government Girls College Nadbai,Bharatpur,ggcnadbai@gmai.com,2023, Girls,UG,9027326560,https://hte.rajasthan.gov.in/college/ggcnadbai
126,Government College Bhusawar,Bharatpur,gcbhusawar2023@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcbhusawar2023
127,Government Girls College Rudawal,Bharatpur,govtgirlscollegerudawal@gmail.com,2023, Girls,UG,9887602981,https://hte.rajasthan.gov.in/college/gcrudawal
128,Govt Girls College Kaman,Bharatpur,ggckamanbharatpur@gmail.com,, Girls,,5640299327,https://hte.rajasthan.gov.in/college/ggckaman
129,"Govt. College, Asind",Bhilwara,gcasind2013@gmail.com,2013, CoEd,UG,1480-0220154,https://hte.rajasthan.gov.in/college/gcasind
130,"Shri Shiv Charan Mathur Government College, Mandalgarh",Bhilwara,mandalgarh.govtcollege@gmail.com,1999, CoEd,PG,1489-0230515,https://hte.rajasthan.gov.in/college/scmgcmandalgarh
131,S M M Govt. Girls College Bhilwara Rajasthan,Bhilwara,smmkanyacollege@yahoo.co.in,1971, Girls,PG,9829795296,https://hte.rajasthan.gov.in/college/ggcbhilwara
132,"Government P.G. Law College, Bhilwara(Raj.)",Bhilwara,GOVTLAWCOLLEGEBHILWARA@GMAIL.COM,2006, CoEd,PG,8766688347,https://hte.rajasthan.gov.in/college/glcbhilwara
133,"GOVERNMENT COLLEGE,  RAIPUR, BHILWARA",Bhilwara,govtcollegeraipur@gmail.com,2013, CoEd,PG,7597858260,https://hte.rajasthan.gov.in/college/gcraipur
134,"M.L.V. Government College, Bhilwara",Bhilwara,mlv1_bhilwara@yahoo.co.in,1956, CoEd,PG,01482-239970,https://hte.rajasthan.gov.in/college/gcbhilwara
135,"S.P.S.B. Govt College, Shahpura, Rajasthan",Bhilwara,psbgovtcollege@gmail.com,1965, CoEd,PG,01484 222217,https://hte.rajasthan.gov.in/college/gcshahpurabhl
136,Government College Banera,Bhilwara,gcbanera@gmail.com,2017, CoEd,UG,01487-272106,https://hte.rajasthan.gov.in/college/gcbanera
137,"GOVERNMENT COLLEGE, BIJOLIYAN",Bhilwara,gcbijoliya@gmail.com,2017, CoEd,UG,9468605233,https://hte.rajasthan.gov.in/college/gcbijoliya
138,"GOVERNMENT  COLLEGE JAHAZPUR, SHAHPURA (RAJ.)",Bhilwara,gcjahazpur@gmail.com,2019, CoEd,UG,01485-294618,https://hte.rajasthan.gov.in/college/gcjahazpur
139,"Govt College Kareda, Bhilwara",Bhilwara,gckareda@gmail.com,2019, CoEd,UG,9414709089,https://hte.rajasthan.gov.in/college/gckareda
140,GOVERNMENT COLLEGE GANGAPUR BHILWARA,Bhilwara,gcgangapurbhilwara@gmail.com,2020, CoEd,UG,1482239970,https://hte.rajasthan.gov.in/college/gcgangapurbhilwara
141,Kailash Trivedi Government Girls College Gangapur-Bhilwara,Bhilwara,ktggcgangapurbhilwara@gmail.com,2021, Girls,UG,1482251702,https://hte.rajasthan.gov.in/college/ggcgangapur
142,Government Girls College Mandal,Bhilwara,mandalggc@gmail.com,2022, Girls,UG,1482239970,https://hte.rajasthan.gov.in/college/ggcmandal
143,Government Girls College Gulabpura,Bhilwara,ggcgulabpura@gmail.com,2022, Girls,UG,9829665978,https://hte.rajasthan.gov.in/college/GGC GULABPURA BHILWARA
144,Government College Antali,Bhilwara,gcantali2023@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcantali2023
145,Government College Hamirgarh,Bhilwara,gchamirgarh@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gchamirgarh
146,Government college phulia kalan,Bhilwara,gcphuliakalan@gmail.com,, CoEd,,1484222221,https://hte.rajasthan.gov.in/college/gcphuliakalan
147,Govt Girls College Shahpura,Bhilwara,ggcshahpura23@gmail.com,, Girls,,1484222217,https://hte.rajasthan.gov.in/college/
148,"Government Law P.G. College, Bikaner",Bikaner,pglcbikaner@yahoo.com,2006, CoEd,PG,0151-2202009,https://hte.rajasthan.gov.in/college/glcbikaner
149,GOVT DUNGAR COLLEGE BIKANER,Bikaner,dungarcollegebikaner334001@gmail.com,1935, CoEd,PG,0151-2528036,https://hte.rajasthan.gov.in/college/gcbikaner
150,BHIMSEN CHOUDHARY GOVERNMENT COLLEGE LUNKARANSAR,Bikaner,govt.collegelksr@gmail.com,2013, CoEd,UG,1528-271001,https://hte.rajasthan.gov.in/college/gclksr
151,"GOVERNMENT MAHARANI SUDARSHAN COLLEGE FOR WOMEN, BIKANER (RAJ)  NAAC B+  (Rashtriya Uchchatar Shiksha Abhiyan (RUSA) BENEFICIARY)",Bikaner,mscollege.bkn@gmail.com,1959, Girls,PG,0151-2528163,https://hte.rajasthan.gov.in/college/ggcbikaner
152,"M.L.B. GOVT. COLLEGE,  NOKHA",Bikaner,mlbgcnokha@gmail.com,1996, CoEd,PG,01531221436,https://hte.rajasthan.gov.in/college/gcnokha
153,"Government College, Khajuwala",Bikaner,gckhajuwala@gmail.com,2016, CoEd,UG,01520233000,https://hte.rajasthan.gov.in/college/gckhajuwala
154,"GOVERNMENT COLLEGE, SHRIDUNGARGARH",Bikaner,gcdungargarh@gmail.com,2018, CoEd,PG,01565-294440,https://hte.rajasthan.gov.in/college/gcdungarh
155,Government College Kolayat,Bikaner,gckolayat334302@gmail.com,2018, CoEd,PG,01534-294827,https://hte.rajasthan.gov.in/college/gckolayat
156,Government College Bajju,Bikaner,gcbajju@gmail.com,2019, CoEd,PG,9413566392,https://hte.rajasthan.gov.in/college/gcbajju
157,Government College Chhatargarh,Bikaner,gcchhattargarh2019@gmail.com,2019, CoEd,UG,9602212539,https://hte.rajasthan.gov.in/college/gcchhatargarh
158,GOVERNMENT COLLEGE DESHNOK,Bikaner,gcdeshnok@gmail.com,2020, CoEd,UG,9214196369,https://hte.rajasthan.gov.in/college/gcdeshnok
159,Government Girls College Nokha,Bikaner,ggcnokha@gmail.com,2021, Girls,UG,9829996906,https://hte.rajasthan.gov.in/college/ggcnokha
160,"GOVERNMENT COLLEGE HADAN, BIKANER",Bikaner,govtcollegehadan@gmail.com,2021, CoEd,UG,9772797827,https://hte.rajasthan.gov.in/college/gchadan
161,Government Girls College Dungargarh,Bikaner,ggcdungargarh@gmail.com,2021, Girls,UG,9529738120,https://hte.rajasthan.gov.in/college/ggcdungargarh
162,Government Girls College Kolayat,Bikaner,ggckolayat@gmail.com,2022, Girls,UG,9414003365,https://hte.rajasthan.gov.in/college/ggckolayat
163,GOVERNMENT COLLEGE POOGAL,Bikaner,drsatishg1@gmail.com,2022, CoEd,UG,9351201557,https://hte.rajasthan.gov.in/college/gcpoogal
164,Government College Godu,Bikaner,gcgodu@gmail.com,2023, CoEd,UG,9352828803,https://hte.rajasthan.gov.in/college/gcgodu
165,Government Girls College Bajju,Bikaner,ggcbajju@gmail.com,2023, Girls,UG,9799799616,https://hte.rajasthan.gov.in/college/ggsbajju
166,Government College Gangasahar,Bikaner,gcgangashahar@gmail.com,2023, CoEd,UG,9461472088,https://hte.rajasthan.gov.in/college/gcgangasahar
167,Government Girls College Napasar,Bikaner,ggcnapasar@gmail.com,2023, Girls,UG,9468964603,https://hte.rajasthan.gov.in/college/ggcnapasar
